ndcg3_severity,ndcg3_w2,mrr_authoritative,real_ndcg3,real_mrr,qid,dimension,package,arm
0.8130542710519492,1.0,1.0,0.3750242664261105,1.0,57,severity,tomcat,rrf
0.8826803184943108,1.0,1.0,0.5523084651002718,1.0,57,severity,tomcat,static_twr
0.7804185934220761,1.0,1.0,0.595329186554734,1.0,57,severity,tomcat,ltwr
0.9146560612887686,1.0,1.0,0.037284625260533964,0.5,58,vuln_status,tomcat,rrf
1.0,1.0,1.0,0.4809738349184379,0.5,58,vuln_status,tomcat,static_twr
0.7653606369886217,1.0,0.5,0.540068567809825,1.0,58,vuln_status,tomcat,ltwr
0.9213669182023797,1.0,1.0,0.16347874152695663,0.5,59,recency,tomcat,rrf
1.0,1.0,1.0,0.4803786611634502,0.5,59,recency,tomcat,static_twr
0.8826803184943108,1.0,1.0,0.5258361480029787,1.0,59,recency,tomcat,ltwr
0.8519590445170673,1.0,1.0,0.2725810299940814,0.5,60,combined,tomcat,rrf
1.0,1.0,1.0,0.501050171597187,0.5,60,combined,tomcat,static_twr
0.7653606369886217,1.0,0.5,0.548564891422743,1.0,60,combined,tomcat,ltwr
